core_serial,details,mission_name,mission_flight,asds_attempts,asds_landings,block,original_launch,reuse_count,rtls_attempts,rtls_landings,water_landing,status
B1048,"Landed on OCISLY as of Nov 11, 2019. ",Iridium NEXT Mission 7,66.0,3,3,5.0,2018-07-25 11:39:26+00:00,3,1,1,False,unknown
B1049,"Landed on OCISLY as of May 24, 2019. ",Telstar 18V,68.0,3,3,5.0,2018-09-10 04:45:00+00:00,2,0,0,False,unknown
B1050,"Towed to Port of Canaveral; future utility unknown as of Dec 7, 2018. ",CRS-16,72.0,0,0,5.0,2018-12-15 00:00:00+00:00,0,1,0,True,unknown
B1054,Stage Expended,GPS III SV01,73.0,0,0,5.0,2018-12-23 13:51:00+00:00,0,0,0,False,lost
B1051,"Landed at LZ-4 as of Jun 15, 2019. ",CCtCap Demo Mission 1,76.0,1,1,5.0,2019-03-02 07:45:00+00:00,1,1,1,False,unknown
B1052,"Landed at LZ-1 as of Jun 25, 2019. ",ArabSat 6A,77.0,0,0,5.0,2019-04-11 22:35:00+00:00,1,2,2,False,unknown
B1053,"Landed at LZ-2 as of Jun 25, 2019. ",ArabSat 6A,77.0,0,0,5.0,2019-04-11 22:35:00+00:00,1,2,2,False,unknown
B1055,Toppled by rough seas and broken in two after safely landing aboard OCISLY,ArabSat 6A,77.0,1,1,5.0,2019-04-11 22:35:00+00:00,0,0,0,False,lost
B1056,"Landed on OCISLY as of December 17, 2019. ",CRS-17,78.0,2,2,5.0,2019-05-04 06:48:00+00:00,2,1,1,False,unknown
B1057,Exploded upon ocean impact a safe distance from OCISLY,,,1,0,5.0,,0,0,0,False,lost
B1058,Undergoing testing at McGregor.,,,0,0,5.0,,0,0,0,False,active
